time,'Pressure: P (psi)', 'valves: V1'
15:00:29.528000,29.32551319648094, 'A'
15:00:29.793000,29.130009775171068, 'A'
15:00:30.058000,29.91202346041056, 'A'
15:00:30.324000,30.498533724340177, 'A'
15:00:30.589000,29.130009775171068, 'A'
15:00:30.839000,28.641251221896386, 'A'
15:00:31.104000,29.91202346041056, 'A'
15:00:31.354000,30.69403714565005, 'A'
15:00:31.619000,28.54349951124145, 'A'
15:00:31.885000,29.227761485826004, 'A'
15:00:32.150000,28.739002932551323, 'A'
15:00:32.400000,30.596285434995114, 'A'
15:00:32.665000,29.61876832844575, 'A'
15:00:32.915000,28.347996089931577, 'A'
15:00:33.180000,29.716520039100686, 'A'
15:00:33.430000,28.934506353861195, 'A'
15:00:34.881000,29.61876832844575, 'A'
15:00:34.928000,29.61876832844575, 'A'
15:00:35.256000,58.748778103616814, 'A'
15:00:35.506000,58.06451612903226, 'A'
15:00:35.771000,58.162267839687196, 'A'
15:00:36.036000,59.04203323558163, 'A'
15:00:36.302000,57.86901270772239, 'A'
15:00:36.551000,58.748778103616814, 'A'
15:00:36.817000,59.2375366568915, 'A'
15:00:37.066000,59.43304007820137, 'A'
15:00:37.332000,58.55327468230694, 'A'
15:00:37.597000,58.94428152492669, 'A'
15:00:37.862000,60.117302052785924, 'A'
15:00:38.128000,60.410557184750736, 'A'
15:00:38.377000,59.530791788856305, 'A'
15:00:38.643000,59.2375366568915, 'A'
15:00:38.892000,60.117302052785924, 'A'
15:00:39.158000,60.215053763440864, 'A'
15:00:39.423000,60.60606060606061, 'A'
15:00:39.688000,60.312805474095796, 'A'
15:00:39.938000,60.410557184750736, 'A'
15:00:40.204000,60.215053763440864, 'A'
15:00:40.453000,58.94428152492669, 'A'
15:00:40.719000,59.72629521016618, 'A'
15:00:40.968000,60.50830889540567, 'A'
15:00:41.234000,59.13978494623656, 'A'
15:00:41.499000,58.65102639296188, 'A'
15:00:41.764000,59.13978494623656, 'A'
15:00:42.014000,58.94428152492669, 'A'
15:00:42.279000,60.410557184750736, 'A'
15:00:42.529000,58.94428152492669, 'A'
15:00:42.794000,59.43304007820137, 'A'
15:00:43.060000,58.06451612903226, 'A'
15:00:43.325000,59.43304007820137, 'A'
15:00:43.590000,59.2375366568915, 'A'
15:00:43.840000,60.50830889540567, 'A'
15:00:44.105000,59.530791788856305, 'A'
15:00:44.355000,58.65102639296188, 'A'
15:00:44.621000,59.530791788856305, 'A'
15:00:44.870000,59.2375366568915, 'A'
15:00:45.136000,59.530791788856305, 'A'
15:00:45.401000,59.82404692082112, 'A'
15:00:45.666000,60.60606060606061, 'A'
15:00:45.916000,58.94428152492669, 'A'
15:00:46.181000,59.530791788856305, 'A'
15:00:46.431000,60.410557184750736, 'A'
15:00:46.696000,60.117302052785924, 'A'
15:00:46.962000,59.13978494623656, 'A'
15:00:47.227000,59.82404692082112, 'A'
15:00:47.477000,59.530791788856305, 'A'
15:00:47.742000,58.162267839687196, 'A'
15:00:47.992000,59.43304007820137, 'A'
15:00:48.257000,59.628543499511245, 'A'
15:00:48.523000,57.96676441837732, 'A'
15:00:48.788000,58.45552297165201, 'A'
15:00:49.053000,60.312805474095796, 'A'
15:00:49.303000,60.01955034213099, 'A'
15:00:49.568000,59.04203323558163, 'A'
15:00:49.834000,59.82404692082112, 'A'
15:00:50.099000,60.01955034213099, 'A'
15:00:50.364000,60.410557184750736, 'A'
15:00:50.630000,58.94428152492669, 'A'
15:00:50.879000,59.72629521016618, 'A'
15:00:51.145000,59.43304007820137, 'A'
15:00:51.410000,59.13978494623656, 'A'
15:00:51.675000,58.94428152492669, 'A'
15:00:52.019000,58.35777126099707, 'A'
15:00:52.190000,58.94428152492669, 'A'
15:00:52.440000,60.312805474095796, 'A'
15:00:52.705000,58.65102639296188, 'A'
15:00:52.971000,59.72629521016618, 'A'
15:00:53.236000,59.530791788856305, 'A'
15:00:53.486000,59.04203323558163, 'A'
15:00:53.751000,58.748778103616814, 'A'
15:00:54.001000,59.13978494623656, 'A'
15:00:54.266000,58.45552297165201, 'A'
15:00:54.532000,59.2375366568915, 'A'
15:00:54.797000,58.846529814271754, 'A'
15:00:55.047000,59.92179863147605, 'A'
15:00:56.670000,59.530791788856305, 'A'
15:00:56.732000,59.530791788856305, 'A'
15:00:56.873000,88.7585532746823, 'A'
15:00:57.138000,89.54056695992179, 'A'
15:00:57.388000,89.93157380254154, 'A'
15:00:57.653000,89.73607038123167, 'A'
15:00:57.903000,89.14956011730204, 'A'
15:00:58.168000,89.73607038123167, 'A'
15:00:58.434000,89.34506353861192, 'A'
15:00:58.699000,88.7585532746823, 'A'
15:00:58.949000,89.34506353861192, 'A'
15:00:59.214000,88.85630498533725, 'A'
15:00:59.464000,88.95405669599218, 'A'
15:00:59.729000,88.95405669599218, 'A'
15:00:59.994000,88.66080156402737, 'A'
15:01:00.260000,89.14956011730204, 'A'
15:01:00.525000,89.63831867057674, 'A'
15:01:00.775000,89.05180840664711, 'A'
15:01:01.024000,89.63831867057674, 'A'
15:01:01.290000,89.05180840664711, 'A'
15:01:01.555000,88.26979472140762, 'A'
15:01:01.820000,88.85630498533725, 'A'
15:01:02.086000,88.7585532746823, 'A'
15:01:02.336000,88.36754643206255, 'A'
15:01:02.601000,88.7585532746823, 'A'
15:01:02.851000,88.95405669599218, 'A'
15:01:03.116000,88.56304985337243, 'A'
15:01:03.366000,88.7585532746823, 'A'
15:01:03.631000,88.7585532746823, 'A'
15:01:03.896000,89.05180840664711, 'A'
15:01:04.146000,89.73607038123167, 'A'
15:01:04.411000,89.14956011730204, 'A'
15:01:04.677000,88.7585532746823, 'A'
15:01:04.926000,89.05180840664711, 'A'
15:01:05.192000,88.85630498533725, 'A'
15:01:05.441000,89.54056695992179, 'A'
15:01:05.707000,89.14956011730204, 'A'
15:01:05.972000,89.44281524926686, 'A'
15:01:06.237000,89.34506353861192, 'A'
15:01:06.487000,89.05180840664711, 'A'
15:01:06.753000,88.66080156402737, 'A'
15:01:07.002000,88.95405669599218, 'A'
15:01:07.268000,88.56304985337243, 'A'
15:01:07.533000,88.66080156402737, 'A'
15:01:07.798000,88.85630498533725, 'A'
15:01:08.064000,89.63831867057674, 'A'
15:01:08.313000,89.34506353861192, 'A'
15:01:08.579000,88.66080156402737, 'A'
15:01:08.828000,88.56304985337243, 'A'
15:01:09.094000,89.14956011730204, 'A'
15:01:09.359000,89.24731182795699, 'A'
15:01:09.609000,88.95405669599218, 'A'
15:01:09.874000,88.7585532746823, 'A'
15:01:10.139000,88.07429130009776, 'A'
15:01:10.389000,88.4652981427175, 'A'
15:01:10.655000,89.24731182795699, 'A'
15:01:10.904000,89.34506353861192, 'A'
15:01:11.170000,88.56304985337243, 'A'
15:01:11.435000,88.56304985337243, 'A'
15:01:11.700000,88.56304985337243, 'A'
