time,'analPins: B (volts)', 'analPins: A (volts)'
16:02:12.305657,0, 0
16:02:12.514203,0.0, 0.0
16:02:12.763207,0.0, 0.0
16:02:13.013823,0.0, 0.0
16:02:13.263789,0.0, 0.0
16:02:13.513506,0.0, 0.0
16:02:13.763353,0.0, 0.0
16:02:14.013624,0.0, 0.0
16:02:14.264207,0.0, 0.0
16:02:14.515202,0.0, 0.0
16:02:14.763714,0.0, 0.0
16:02:15.014269,0.0, 0.0
16:02:15.264309,0.0, 0.0
16:02:15.514269,0.0, 0.0
16:02:15.764136,0.0, 0.0
16:02:16.015434,0.0, 0.0
16:02:16.265167,0.0, 0.0
16:02:16.514942,0.0, 0.0
16:02:17.241335,0.0, 0.0
16:02:17.515355,0.0, 0.0
16:02:17.765530,0.0, 0.0
16:02:18.015547,0.0, 0.0
16:02:18.266159,0.0, 0.0
16:02:18.515725,0.0, 0.0
16:02:18.765952,0.0, 0.0
16:02:19.016192,0.0, 0.0
16:02:19.266286,0.0, 0.0
16:02:19.516372,0.0, 0.0
16:02:19.766996,0.0, 0.0
16:02:20.017234,0.0, 0.0
16:02:20.267311,0.0, 0.0
16:02:20.517183,0.0, 0.0
16:02:21.085715,0.0, 0.0
16:02:21.267313,0.0, 0.0
16:02:21.517456,0.0, 0.0
16:02:21.768126,0.0, 0.0
16:02:22.019390,0.0, 0.0
16:02:22.268278,0.0, 0.0
16:02:22.517801,0.0, 0.0
16:02:22.767724,0.0, 0.0
16:02:23.018111,0.0, 0.0
16:02:23.269390,0.0, 0.0
16:02:23.613292,0.0, 0.0
16:02:23.857935,0.0, 0.0
16:02:24.068771,0.0, 0.0
16:02:24.363074,0.0, 0.0
16:02:24.597569,0.0, 0.0
16:02:24.830031,0.0, 0.0
16:02:25.197007,0.0, 0.0
16:02:25.290297,0.0, 0.0
16:02:25.675187,0.0, 0.0
16:02:25.770073,0.0, 0.0
16:02:26.020286,0.0, 0.0
16:02:26.270972,0.0, 0.0
16:02:26.546792,0.0, 0.0
16:02:26.871717,0.0, 0.0
16:02:27.133170,0.0, 0.0
16:02:27.382792,0.0, 0.0
16:02:27.746239,0.0, 0.0
16:02:28.230123,0.0, 0.0
16:02:28.629455,0.0, 0.0
16:02:28.771743,0.0, 0.0
16:02:29.022083,0.0, 0.0
16:02:29.371965,0.0, 0.0
16:02:29.625853,0.0, 0.0
16:02:29.886584,0.0, 0.0
16:02:30.061252,0.0, 0.0
16:02:30.272071,0.0, 0.0
16:02:30.521393,0.0, 0.0
16:02:30.772031,0.0, 0.0
16:02:31.023004,0.0, 0.0
16:02:31.273331,0.0, 0.0
16:02:31.522611,0.0, 0.0
16:02:31.774012,0.0, 0.0
16:02:32.024439,0.9824046920821115, 0.9970674486803519
16:02:32.273591,1.0117302052785924, 0.9530791788856305
16:02:32.524234,0.9775171065493646, 0.9970674486803519
16:02:32.773274,1.0166177908113392, 1.0263929618768328
16:02:33.024421,0.9775171065493646, 0.9921798631476051
16:02:33.273975,1.021505376344086, 0.9970674486803519
16:02:33.524176,0.9726295210166178, 0.9872922776148583
16:02:33.774199,1.0263929618768328, 0.9824046920821115
16:02:34.025424,0.9872922776148583, 1.0019550342130987
16:02:34.275457,0.9921798631476051, 1.0068426197458455
16:02:34.525244,0.9775171065493646, 0.9970674486803519
16:02:34.774721,0.9872922776148583, 1.0019550342130987
16:02:35.025754,0.967741935483871, 0.967741935483871
16:02:35.275978,1.0166177908113392, 0.9530791788856305
16:02:35.526449,0.9628543499511242, 0.9775171065493646
16:02:35.776040,1.021505376344086, 1.0068426197458455
16:02:36.026159,0.9775171065493646, 0.9970674486803519
16:02:36.276913,1.0117302052785924, 1.0263929618768328
16:02:36.525903,0.9970674486803519, 1.0117302052785924
16:02:36.776790,1.0117302052785924, 0.9530791788856305
16:02:37.027072,0.9628543499511242, 0.967741935483871
16:02:37.276437,1.0166177908113392, 1.0263929618768328
16:02:37.526522,0.9824046920821115, 0.9970674486803519
16:02:37.777218,1.0019550342130987, 1.0166177908113392
16:02:38.026961,0.9824046920821115, 0.9970674486803519
16:02:38.277808,1.0068426197458455, 0.9579667644183774
16:02:38.527594,0.9970674486803519, 1.0117302052785924
16:02:38.777271,0.967741935483871, 0.967741935483871
16:02:39.027252,0.9872922776148583, 1.0068426197458455
16:02:39.278457,0.9726295210166178, 0.9628543499511242
16:02:39.527563,0.9824046920821115, 0.9970674486803519
16:02:39.777931,0.9628543499511242, 0.9628543499511242
16:02:40.027396,0.9824046920821115, 0.9970674486803519
16:02:40.277899,0.9970674486803519, 1.0117302052785924
16:02:40.527788,0.9921798631476051, 1.0117302052785924
16:02:40.777155,1.0117302052785924, 1.0263929618768328
16:02:41.028081,0.9872922776148583, 1.0019550342130987
16:02:41.278137,0.9579667644183774, 0.967741935483871
16:02:41.529472,0.9872922776148583, 1.0019550342130987
16:02:41.777729,1.0263929618768328, 0.9921798631476051
16:02:42.053434,1.0019550342130987, 1.0166177908113392
16:02:42.359456,1.0019550342130987, 1.0166177908113392
16:02:42.529378,0.9726295210166178, 0.9872922776148583
16:02:42.778773,0.9775171065493646, 0.967741935483871
16:02:43.029789,0.967741935483871, 0.9824046920821115
16:02:43.279954,0.9579667644183774, 0.9726295210166178
16:02:43.529656,1.0019550342130987, 1.0166177908113392
16:02:43.780909,0.9579667644183774, 0.9726295210166178
16:02:44.029161,0.967741935483871, 0.9872922776148583
16:02:44.280003,0.9628543499511242, 0.9775171065493646
